,code,name,market
241,000688,建新矿业,0
242,000690,宝新能源,0
243,000691,亚太实业,0
244,000692,惠天热电,0
245,000693,*ST华泽,0
246,000695,滨海能源,0
247,000697,炼石有色,0
248,000698,沈阳化工,0
249,000700,模塑科技,0
250,000701,厦门信达,0
251,000702,正虹科技,0
252,000703,恒逸石化,0
253,000705,浙江震元,0
254,000707,双环科技,0
255,000708,大冶特钢,0
256,000709,河钢股份,0
257,000710,贝瑞基因,0
258,000711,京蓝科技,0
259,000712,锦龙股份,0
260,000713,丰乐种业,0
261,000715,中兴商业,0
262,000716,黑芝麻,0
263,000717,韶钢松山,0
264,000718,苏宁环球,0
265,000719,中原传媒,0
266,000720,新能泰山,0
267,000721,西安饮食,0
268,000722,湖南发展,0
269,000723,美锦能源,0
270,000725,京东方Ａ,0
271,000726,鲁 泰Ａ,0
272,000727,华东科技,0
273,000728,国元证券,0
274,000729,燕京啤酒,0
275,000731,四川美丰,0
276,000732,泰禾集团,0
277,000733,振华科技,0
278,000735,罗 牛 山,0
279,000736,中交地产,0
280,000737,*ST南风,0
281,000738,航发控制,0
282,000739,普洛药业,0
283,000750,国海证券,0
284,000751,锌业股份,0
285,000752,西藏发展,0
286,000753,漳州发展,0
287,000755,*ST三维,0
288,000756,新华制药,0
289,000757,浩物股份,0
290,000758,中色股份,0
291,000759,中百集团,0
292,000760,斯太尔,0
293,000761,本钢板材,0
294,000762,西藏矿业,0
295,000766,通化金马,0
296,000767,漳泽电力,0
297,000768,中航飞机,0
298,000776,广发证券,0
299,000777,中核科技,0
300,000778,新兴铸管,0
301,000779,三毛派神,0
302,000780,*ST平能,0
303,000782,美达股份,0
304,000783,长江证券,0
305,000785,武汉中商,0
306,000786,北新建材,0
307,000788,北大医药,0
308,000789,万年青,0
309,000790,泰合健康,0
310,000791,甘肃电投,0
311,000792,盐湖股份,0
312,000793,华闻传媒,0
313,000795,英洛华,0
314,000796,凯撒旅游,0
315,000797,中国武夷,0
316,000798,中水渔业,0
317,000799,酒鬼酒,0
318,000800,一汽轿车,0
319,000801,四川九洲,0
320,000802,北京文化,0
321,000803,*ST金宇,0
322,000806,银河生物,0
323,000807,云铝股份,0
324,000809,*ST新城,0
325,000810,创维数字,0
326,000811,冰轮环境,0
327,000812,陕西金叶,0
328,000813,德展健康,0
329,000815,美利云,0
330,000816,智慧农业,0
331,000818,方大化工,0
332,000819,岳阳兴长,0
333,000820,神雾节能,0
334,000821,京山轻机,0
335,000822,山东海化,0
336,000823,超声电子,0
337,000825,太钢不锈,0
338,000826,启迪桑德,0
339,000828,东莞控股,0
340,000829,天音控股,0
341,000830,鲁西化工,0
342,000831,五矿稀土,0
343,000833,贵糖股份,0
344,000835,长城动漫,0
345,000836,鑫茂科技,0
346,000837,秦川机床,0
347,000838,财信发展,0
348,000839,中信国安,0
349,000848,承德露露,0
350,000850,华茂股份,0
351,000851,高鸿股份,0
352,000852,石化机械,0
353,000856,冀东装备,0
354,000858,五 粮 液,0
355,000859,国风塑业,0
356,000860,顺鑫农业,0
357,000861,海印股份,0
358,000862,银星能源,0
359,000863,三湘印象,0
360,000868,安凯客车,0
361,000869,张 裕Ａ,0
362,000875,吉电股份,0
363,000876,新 希 望,0
364,000877,天山股份,0
365,000878,云南铜业,0
366,000880,潍柴重机,0
367,000881,中广核技,0
368,000882,华联股份,0
369,000883,湖北能源,0
370,000885,同力水泥,0
371,000886,海南高速,0
372,000887,中鼎股份,0
373,000888,峨眉山Ａ,0
374,000889,茂业通信,0
375,000890,法 尔 胜,0
376,000892,欢瑞世纪,0
377,000893,东凌国际,0
378,000895,双汇发展,0
379,000897,津滨发展,0
380,000898,鞍钢股份,0
381,000899,赣能股份,0
382,000900,现代投资,0
383,000901,航天科技,0
384,000902,新洋丰,0
385,000903,云内动力,0
386,000905,厦门港务,0
387,000906,浙商中拓,0
388,000908,景峰医药,0
389,000909,数源科技,0
390,000910,大亚圣象,0
391,000911,南宁糖业,0
392,000912,*ST天化,0
393,000913,钱江摩托,0
394,000915,山大华特,0
395,000917,电广传媒,0
396,000918,嘉凯城,0
397,000919,金陵药业,0
398,000920,南方汇通,0
399,000921,海信科龙,0
400,000922,*ST佳电,0
401,000923,河北宣工,0
402,000925,众合科技,0
403,000926,福星股份,0
404,000927,一汽夏利,0
405,000928,中钢国际,0
406,000929,兰州黄河,0
407,000930,中粮生化,0
408,000931,中 关 村,0
409,000932,华菱钢铁,0
410,000933,神火股份,0
411,000935,四川双马,0
412,000936,华西股份,0
413,000937,冀中能源,0
414,000938,紫光股份,0
415,000939,凯迪生态,0
416,000948,南天信息,0
417,000949,新乡化纤,0
418,000951,中国重汽,0
419,000952,广济药业,0
420,000953,*ST河化,0
421,000955,欣龙控股,0
422,000957,中通客车,0
423,000958,东方能源,0
424,000959,首钢股份,0
425,000960,锡业股份,0
426,000961,中南建设,0
427,000962,东方钽业,0
428,000963,华东医药,0
429,000965,天保基建,0
430,000966,长源电力,0
431,000967,盈峰环境,0
432,000968,蓝焰控股,0
433,000969,安泰科技,0
434,000970,中科三环,0
435,000971,高升控股,0
436,000972,*ST中基,0
437,000973,佛塑科技,0
438,000975,银泰资源,0
439,000976,华铁股份,0
440,000977,浪潮信息,0
441,000978,桂林旅游,0
442,000979,中弘股份,0
443,000980,众泰汽车,0
444,000981,银亿股份,0
445,000982,*ST 中绒,0
446,000983,西山煤电,0
447,000985,大庆华科,0
448,000987,越秀金控,0
449,000988,华工科技,0
450,000989,九 芝 堂,0
451,000990,诚志股份,0
452,000993,闽东电力,0
453,000995,皇台酒业,0
454,000996,中国中期,0
455,000997,新 大 陆,0
456,000998,隆平高科,0
457,000999,华润三九,0
458,001696,宗申动力,0
459,001896,豫能控股,0
460,001965,招商公路,0
461,001979,招商蛇口,0
462,002001,新 和 成,0
463,002002,鸿达兴业,0
464,002003,伟星股份,0
465,002004,华邦健康,0
466,002005,德豪润达,0
467,002006,精功科技,0
468,002007,华兰生物,0
469,002008,大族激光,0
470,002009,天奇股份,0
471,002010,传化智联,0
472,002011,盾安环境,0
473,002012,凯恩股份,0
474,002013,中航机电,0
475,002014,永新股份,0
476,002015,霞客环保,0
477,002016,世荣兆业,0
478,002017,东信和平,0
479,002018,华信国际,0
480,002019,亿帆医药,0
481,002020,京新药业,0
482,002021,中捷资源,0
483,002022,科华生物,0
484,002023,海特高新,0
485,002024,苏宁易购,0
486,002025,航天电器,0
487,002026,山东威达,0
488,002027,分众传媒,0
489,002028,思源电气,0
490,002029,七 匹 狼,0
491,002030,达安基因,0
492,002031,巨轮智能,0
493,002032,苏 泊 尔,0
494,002033,丽江旅游,0
495,002034,旺能环境,0
496,002035,华帝股份,0
497,002036,联创电子,0
498,002037,久联发展,0
499,002038,双鹭药业,0
500,002039,黔源电力,0
501,002040,南 京 港,0
502,002041,登海种业,0
503,002042,华孚时尚,0
504,002043,兔 宝 宝,0
505,002044,美年健康,0
506,002045,国光电器,0
507,002046,轴研科技,0
508,002047,宝鹰股份,0
509,002048,宁波华翔,0
510,002049,紫光国芯,0
511,002050,三花智控,0
512,002051,中工国际,0
513,002052,同洲电子,0
514,002053,云南能投,0
515,002054,德美化工,0
516,002055,得润电子,0
517,002056,横店东磁,0
518,002057,中钢天源,0
519,002058,威 尔 泰,0
520,002059,云南旅游,0
521,002060,粤 水 电,0
522,002061,浙江交科,0
523,002062,宏润建设,0
524,002063,远光软件,0
525,002064,华峰氨纶,0
526,002065,东华软件,0
527,002066,瑞泰科技,0
528,002067,景兴纸业,0
529,002068,黑猫股份,0
530,002069,獐子岛,0
531,002070,*ST众和,0
532,002071,长城影视,0
533,002072,凯瑞德,0
534,002073,软控股份,0
535,002074,国轩高科,0
536,002075,沙钢股份,0
537,002076,雪 莱 特,0
538,002077,大港股份,0
539,002078,太阳纸业,0
540,002079,苏州固锝,0
541,002080,中材科技,0
542,002081,金 螳 螂,0
543,002082,万邦德,0
544,002083,孚日股份,0
545,002084,海鸥住工,0
546,002085,万丰奥威,0
547,002086,东方海洋,0
